sample_id,orig_path,edited_path,reversed_path,source_side,target_side,edit_magnitude,reverse_error
sample_3029,experiment/laterality/edits/sample_3029_original.png,experiment/laterality/edits/sample_3029_edited.png,experiment/laterality/edits/sample_3029_reversed.png,right,left,4.760060,0.002897
sample_3030,experiment/laterality/edits/sample_3030_original.png,experiment/laterality/edits/sample_3030_edited.png,experiment/laterality/edits/sample_3030_reversed.png,left,right,5.030855,0.003814
sample_3031,experiment/laterality/edits/sample_3031_original.png,experiment/laterality/edits/sample_3031_edited.png,experiment/laterality/edits/sample_3031_reversed.png,left,right,4.183794,0.003633
sample_3032,experiment/laterality/edits/sample_3032_original.png,experiment/laterality/edits/sample_3032_edited.png,experiment/laterality/edits/sample_3032_reversed.png,left,right,5.716383,0.004067
sample_3033,experiment/laterality/edits/sample_3033_original.png,experiment/laterality/edits/sample_3033_edited.png,experiment/laterality/edits/sample_3033_reversed.png,right,left,5.565056,0.003468
sample_3034,experiment/laterality/edits/sample_3034_original.png,experiment/laterality/edits/sample_3034_edited.png,experiment/laterality/edits/sample_3034_reversed.png,left,right,4.119304,0.003292
sample_3035,experiment/laterality/edits/sample_3035_original.png,experiment/laterality/edits/sample_3035_edited.png,experiment/laterality/edits/sample_3035_reversed.png,left,right,4.077202,0.007233
sample_3036,experiment/laterality/edits/sample_3036_original.png,experiment/laterality/edits/sample_3036_edited.png,experiment/laterality/edits/sample_3036_reversed.png,left,right,4.506073,0.002579
sample_3037,experiment/laterality/edits/sample_3037_original.png,experiment/laterality/edits/sample_3037_edited.png,experiment/laterality/edits/sample_3037_reversed.png,left,right,5.041923,0.003142
sample_3038,experiment/laterality/edits/sample_3038_original.png,experiment/laterality/edits/sample_3038_edited.png,experiment/laterality/edits/sample_3038_reversed.png,left,right,5.531410,0.003060
sample_3039,experiment/laterality/edits/sample_3039_original.png,experiment/laterality/edits/sample_3039_edited.png,experiment/laterality/edits/sample_3039_reversed.png,right,left,4.509257,0.003678
sample_3040,experiment/laterality/edits/sample_3040_original.png,experiment/laterality/edits/sample_3040_edited.png,experiment/laterality/edits/sample_3040_reversed.png,left,right,4.993515,0.003043
sample_3041,experiment/laterality/edits/sample_3041_original.png,experiment/laterality/edits/sample_3041_edited.png,experiment/laterality/edits/sample_3041_reversed.png,left,right,4.622555,0.005367
sample_3042,experiment/laterality/edits/sample_3042_original.png,experiment/laterality/edits/sample_3042_edited.png,experiment/laterality/edits/sample_3042_reversed.png,left,right,3.247541,0.004730
sample_3043,experiment/laterality/edits/sample_3043_original.png,experiment/laterality/edits/sample_3043_edited.png,experiment/laterality/edits/sample_3043_reversed.png,right,left,5.744835,0.002676
sample_3044,experiment/laterality/edits/sample_3044_original.png,experiment/laterality/edits/sample_3044_edited.png,experiment/laterality/edits/sample_3044_reversed.png,right,left,4.217740,0.003143
sample_3045,experiment/laterality/edits/sample_3045_original.png,experiment/laterality/edits/sample_3045_edited.png,experiment/laterality/edits/sample_3045_reversed.png,right,left,4.621052,0.004202
sample_3046,experiment/laterality/edits/sample_3046_original.png,experiment/laterality/edits/sample_3046_edited.png,experiment/laterality/edits/sample_3046_reversed.png,left,right,4.974511,0.003360
sample_3047,experiment/laterality/edits/sample_3047_original.png,experiment/laterality/edits/sample_3047_edited.png,experiment/laterality/edits/sample_3047_reversed.png,left,right,4.199957,0.003667
sample_3048,experiment/laterality/edits/sample_3048_original.png,experiment/laterality/edits/sample_3048_edited.png,experiment/laterality/edits/sample_3048_reversed.png,right,left,4.847125,0.002193
sample_3049,experiment/laterality/edits/sample_3049_original.png,experiment/laterality/edits/sample_3049_edited.png,experiment/laterality/edits/sample_3049_reversed.png,left,right,5.525485,0.005066
sample_3050,experiment/laterality/edits/sample_3050_original.png,experiment/laterality/edits/sample_3050_edited.png,experiment/laterality/edits/sample_3050_reversed.png,left,right,4.873587,0.003254
