sample_id,orig_path,edited_path,reversed_path,source_side,target_side,edit_magnitude,reverse_error
sample_053,experiment/gene_36class/edits/sample_053_original.png,experiment/gene_36class/edits/sample_053_edited.png,experiment/gene_36class/edits/sample_053_reversed.png,gene0,gene35,8.308348,0.002616
sample_054,experiment/gene_36class/edits/sample_054_original.png,experiment/gene_36class/edits/sample_054_edited.png,experiment/gene_36class/edits/sample_054_reversed.png,gene0,gene35,7.559982,0.002511
sample_055,experiment/gene_36class/edits/sample_055_original.png,experiment/gene_36class/edits/sample_055_edited.png,experiment/gene_36class/edits/sample_055_reversed.png,gene0,gene35,8.017411,0.004924
sample_056,experiment/gene_36class/edits/sample_056_original.png,experiment/gene_36class/edits/sample_056_edited.png,experiment/gene_36class/edits/sample_056_reversed.png,gene0,gene35,7.409455,0.003015
sample_057,experiment/gene_36class/edits/sample_057_original.png,experiment/gene_36class/edits/sample_057_edited.png,experiment/gene_36class/edits/sample_057_reversed.png,gene0,gene35,7.399139,0.003615
sample_058,experiment/gene_36class/edits/sample_058_original.png,experiment/gene_36class/edits/sample_058_edited.png,experiment/gene_36class/edits/sample_058_reversed.png,gene0,gene35,8.500511,0.002471
sample_059,experiment/gene_36class/edits/sample_059_original.png,experiment/gene_36class/edits/sample_059_edited.png,experiment/gene_36class/edits/sample_059_reversed.png,gene0,gene35,8.056216,0.003002
sample_060,experiment/gene_36class/edits/sample_060_original.png,experiment/gene_36class/edits/sample_060_edited.png,experiment/gene_36class/edits/sample_060_reversed.png,gene0,gene35,8.299010,0.003358
sample_061,experiment/gene_36class/edits/sample_061_original.png,experiment/gene_36class/edits/sample_061_edited.png,experiment/gene_36class/edits/sample_061_reversed.png,gene0,gene35,7.740233,0.003732
sample_062,experiment/gene_36class/edits/sample_062_original.png,experiment/gene_36class/edits/sample_062_edited.png,experiment/gene_36class/edits/sample_062_reversed.png,gene0,gene35,8.518020,0.002277
sample_063,experiment/gene_36class/edits/sample_063_original.png,experiment/gene_36class/edits/sample_063_edited.png,experiment/gene_36class/edits/sample_063_reversed.png,gene0,gene35,8.308384,0.002333
sample_064,experiment/gene_36class/edits/sample_064_original.png,experiment/gene_36class/edits/sample_064_edited.png,experiment/gene_36class/edits/sample_064_reversed.png,gene0,gene35,8.736142,0.003602
sample_065,experiment/gene_36class/edits/sample_065_original.png,experiment/gene_36class/edits/sample_065_edited.png,experiment/gene_36class/edits/sample_065_reversed.png,gene0,gene35,8.702841,0.003034
sample_066,experiment/gene_36class/edits/sample_066_original.png,experiment/gene_36class/edits/sample_066_edited.png,experiment/gene_36class/edits/sample_066_reversed.png,gene0,gene35,8.507268,0.003116
sample_067,experiment/gene_36class/edits/sample_067_original.png,experiment/gene_36class/edits/sample_067_edited.png,experiment/gene_36class/edits/sample_067_reversed.png,gene0,gene35,7.399214,0.003089
sample_068,experiment/gene_36class/edits/sample_068_original.png,experiment/gene_36class/edits/sample_068_edited.png,experiment/gene_36class/edits/sample_068_reversed.png,gene0,gene35,6.679741,0.003818
sample_069,experiment/gene_36class/edits/sample_069_original.png,experiment/gene_36class/edits/sample_069_edited.png,experiment/gene_36class/edits/sample_069_reversed.png,gene0,gene35,8.009319,0.004445
sample_070,experiment/gene_36class/edits/sample_070_original.png,experiment/gene_36class/edits/sample_070_edited.png,experiment/gene_36class/edits/sample_070_reversed.png,gene0,gene35,8.150686,0.002967
sample_071,experiment/gene_36class/edits/sample_071_original.png,experiment/gene_36class/edits/sample_071_edited.png,experiment/gene_36class/edits/sample_071_reversed.png,gene0,gene35,8.236755,0.003356
sample_072,experiment/gene_36class/edits/sample_072_original.png,experiment/gene_36class/edits/sample_072_edited.png,experiment/gene_36class/edits/sample_072_reversed.png,gene0,gene35,7.594788,0.002785
sample_073,experiment/gene_36class/edits/sample_073_original.png,experiment/gene_36class/edits/sample_073_edited.png,experiment/gene_36class/edits/sample_073_reversed.png,gene0,gene35,8.609894,0.003851
sample_074,experiment/gene_36class/edits/sample_074_original.png,experiment/gene_36class/edits/sample_074_edited.png,experiment/gene_36class/edits/sample_074_reversed.png,gene0,gene35,7.640991,0.002801
sample_075,experiment/gene_36class/edits/sample_075_original.png,experiment/gene_36class/edits/sample_075_edited.png,experiment/gene_36class/edits/sample_075_reversed.png,gene0,gene35,7.303210,0.004761
sample_076,experiment/gene_36class/edits/sample_076_original.png,experiment/gene_36class/edits/sample_076_edited.png,experiment/gene_36class/edits/sample_076_reversed.png,gene0,gene35,7.435530,0.002343
sample_077,experiment/gene_36class/edits/sample_077_original.png,experiment/gene_36class/edits/sample_077_edited.png,experiment/gene_36class/edits/sample_077_reversed.png,gene0,gene35,7.503350,0.003145
sample_078,experiment/gene_36class/edits/sample_078_original.png,experiment/gene_36class/edits/sample_078_edited.png,experiment/gene_36class/edits/sample_078_reversed.png,gene0,gene35,8.932324,0.003810
sample_079,experiment/gene_36class/edits/sample_079_original.png,experiment/gene_36class/edits/sample_079_edited.png,experiment/gene_36class/edits/sample_079_reversed.png,gene0,gene35,8.287016,0.003232
sample_080,experiment/gene_36class/edits/sample_080_original.png,experiment/gene_36class/edits/sample_080_edited.png,experiment/gene_36class/edits/sample_080_reversed.png,gene0,gene35,8.565800,0.003772
sample_081,experiment/gene_36class/edits/sample_081_original.png,experiment/gene_36class/edits/sample_081_edited.png,experiment/gene_36class/edits/sample_081_reversed.png,gene0,gene35,7.806983,0.004766
sample_082,experiment/gene_36class/edits/sample_082_original.png,experiment/gene_36class/edits/sample_082_edited.png,experiment/gene_36class/edits/sample_082_reversed.png,gene0,gene35,7.388873,0.004257
sample_083,experiment/gene_36class/edits/sample_083_original.png,experiment/gene_36class/edits/sample_083_edited.png,experiment/gene_36class/edits/sample_083_reversed.png,gene0,gene35,7.664077,0.006160
sample_084,experiment/gene_36class/edits/sample_084_original.png,experiment/gene_36class/edits/sample_084_edited.png,experiment/gene_36class/edits/sample_084_reversed.png,gene0,gene35,8.135226,0.004468
sample_085,experiment/gene_36class/edits/sample_085_original.png,experiment/gene_36class/edits/sample_085_edited.png,experiment/gene_36class/edits/sample_085_reversed.png,gene0,gene35,8.562327,0.004973
